date,price
4-Jan-10,17500
5-Jan-10,17650
6-Jan-10,17600
7-Jan-10,17700
8-Jan-10,17600
9-Jan-10,17750
11-Jan-10,18000
12-Jan-10,18000
13-Jan-10,17700
14-Jan-10,17700
15-Jan-10,17650
16-Jan-10,17600
18-Jan-10,17650
25-Jan-10,17650
20-Jan-10,17600
21-Jan-10,17300
22-Jan-10,17150
23-Jan-10,17150
25-Jan-10,17200
26-Jan-10,17050
27-Jan-10,17100
28-Jan-10,17100
29-Jan-10,17000
30-Jan-10,17000
1-Feb-10,17000
2-Feb-10,17300
3-Feb-10,17450
4-Feb-10,17300
5-Feb-10,16750
6-Feb-10,16800
8-Feb-10,16850
9-Feb-10,16800
10-Feb-10,16900
11-Feb-10,16900
12-Feb-10,16900
13-Feb-10,17100
15-Feb-10,17100
16-Feb-10,17350
17-Feb-10,17450
18-Feb-10,17250
25-Feb-10,17300
20-Feb-10,17400
22-Feb-10,17450
23-Feb-10,17400
24-Feb-10,17150
25-Feb-10,17100
26-Feb-10,17300
27-Feb-10,17400
1-Mar-10,17400
2-Mar-10,17300
3-Mar-10,17500
4-Mar-10,17450
5-Mar-10,17450
6-Mar-10,17450
8-Mar-10,17500
9-Mar-10,17350
10-Mar-10,17350
11-Mar-10,17100
12-Mar-10,17200
13-Mar-10,17000
15-Mar-10,17050
16-Mar-10,17100
17-Mar-10,17250
18-Mar-10,17100
25-Mar-10,17150
20-Mar-10,16950
22-Mar-10,16950
23-Mar-10,16900
24-Mar-10,16800
25-Mar-10,16750
26-Mar-10,16850
27-Mar-10,16950
29-Mar-10,16950
30-Mar-10,16950
31-Mar-10,16950
1-Apr-10,17050
2-Apr-10,17100
3-Apr-10,17100
5-Apr-10,17150
7-Apr-10,17250
8-Apr-10,17400
9-Apr-10,17500
10-Apr-10,17550
12-Apr-10,17600
16-Apr-10,17500
17-Apr-10,17300
25-Apr-10,17200
20-Apr-10,17350
21-Apr-10,17300
22-Apr-10,17350
23-Apr-10,17350
24-Apr-10,17500
26-Apr-10,17450
27-Apr-10,17450
28-Apr-10,17650
29-Apr-10,17750
30-Apr-10,17800
3-May-10,17900
4-May-10,17900
6-May-10,17900
7-May-10,18150
8-May-10,18200
10-May-10,18050
11-May-10,18300
12-May-10,18700
13-May-10,18650
14-May-10,18700
15-May-10,18650
17-May-10,18900
25-May-10,18450
20-May-10,18150
21-May-10,18000
22-May-10,18050
24-May-10,18100
25-May-10,18250
26-May-10,18550
27-May-10,18550
29-May-10,18600
31-May-10,18600
1-Jun-10,18700
2-Jun-10,18700
3-Jun-10,18650
4-Jun-10,18500
5-Jun-10,18650
7-Jun-10,18650
8-Jun-10,19050
9-Jun-10,18950
10-Jun-10,18700
11-Jun-10,18700
12-Jun-10,18750
14-Jun-10,18800
15-Jun-10,18700
16-Jun-10,18850
17-Jun-10,18800
18-Jun-10,18950
25-Jun-10,19100
21-Jun-10,19050
22-Jun-10,18900
23-Jun-10,18950
24-Jun-10,18850
25-Jun-10,19000
26-Jun-10,19100
28-Jun-10,19100
29-Jun-10,18900
30-Jun-10,19000
1-Jul-10,18950
2-Jul-10,18600
3-Jul-10,18600
5-Jul-10,18550
6-Jul-10,18550
7-Jul-10,18300
8-Jul-10,18450
9-Jul-10,18350
10-Jul-10,18500
12-Jul-10,18400
13-Jul-10,18450
14-Jul-10,18500
15-Jul-10,18450
16-Jul-10,18400
17-Jul-10,18250
25-Jul-10,18200
20-Jul-10,18050
21-Jul-10,18150
22-Jul-10,18150
23-Jul-10,18250
24-Jul-10,18150
26-Jul-10,18200
27-Jul-10,18050
28-Jul-10,17800
29-Jul-10,17850
30-Jul-10,17850
31-Jul-10,17950
2-Aug-10,17950
3-Aug-10,18000
4-Aug-10,18150
5-Aug-10,18150
6-Aug-10,18100
7-Aug-10,18150
9-Aug-10,18200
10-Aug-10,18100
11-Aug-10,18100
13-Aug-10,18250
14-Aug-10,18250
16-Aug-10,18300
17-Aug-10,18300
18-Aug-10,18250
25-Aug-10,18300
20-Aug-10,18300
21-Aug-10,18300
23-Aug-10,18250
24-Aug-10,18150
25-Aug-10,18350
26-Aug-10,18350
27-Aug-10,18250
28-Aug-10,18250
30-Aug-10,18250
31-Aug-10,18250
1-Sep-10,18350
2-Sep-10,18350
3-Sep-10,18400
3-Sep-10,18350
4-Sep-10,18350
6-Sep-10,18300
7-Sep-10,18350
8-Sep-10,18400
9-Sep-10,18300
10-Sep-10,18150
11-Sep-10,18150
13-Sep-10,18100
14-Sep-10,18200
14-Sep-10,18150
15-Sep-10,18450
16-Sep-10,18450
17-Sep-10,18550
18-Sep-10,18500
20-Sep-10,18550
21-Sep-10,18550
22-Sep-10,18650
23-Sep-10,18650
24-Sep-10,18750
25-Sep-10,18700
27-Sep-10,18700
28-Sep-10,18600
29-Sep-10,18750
30-Sep-10,18800
1-Oct-10,18700
2-Oct-10,18700
4-Oct-10,18700
5-Oct-10,18800
6-Oct-10,18950
7-Oct-10,19050
8-Oct-10,18800
9-Oct-10,18950
11-Oct-10,19050
12-Oct-10,18950
13-Oct-10,19100
14-Oct-10,19350
15-Oct-10,19350
16-Oct-10,19250
18-Oct-10,19150
25-Oct-10,19250
20-Oct-10,19000
21-Oct-10,18950
22-Oct-10,18650
25-Oct-10,18950
26-Oct-10,18850
27-Oct-10,18850
28-Oct-10,18800
29-Oct-10,18900
30-Oct-10,19100
1-Nov-10,19150
2-Nov-10,19100
3-Nov-10,19050
